word,count,percentage,pos
present,9,0.0178,adj
balanced,9,0.0178,verb
world,9,0.0178,noun
elegantly,9,0.0178,adv
items,9,0.0178,noun
using,9,0.0178,verb
portrayed,9,0.0178,verb
curtains,9,0.0178,noun
focal,9,0.0178,adj
portrayal,9,0.0178,noun
tone,9,0.0178,noun
harmonious,9,0.0178,adj
cloth,9,0.0178,other
specifically,9,0.0178,adv
choice,9,0.0178,noun
reading,9,0.0178,verb
environment,9,0.0178,noun
connection,9,0.0178,noun
uccello,9,0.0178,adj
description,9,0.0178,noun
brown,9,0.0178,adj
base,9,0.0178,noun
ornate,9,0.0178,adj
place,9,0.0178,noun
harmony,9,0.0178,noun
scattered,9,0.0178,adj
primitivism,9,0.0178,noun
blouse,9,0.0178,other
balance,9,0.0178,noun
squares,9,0.0178,verb
neoclassical,9,0.0178,adj
history,9,0.0178,noun
do,9,0.0178,verb
mount,9,0.0178,noun
gauguin,9,0.0178,noun
physical,8,0.0159,adj
modigliani,8,0.0159,noun
eye,8,0.0159,noun
cool,8,0.0159,noun
rural,8,0.0159,adj
smaller,8,0.0159,adj
plant,8,0.0159,noun
meticulous,8,0.0159,adj
stark,8,0.0159,adj
plate,8,0.0159,adj
prints,8,0.0159,noun
techniques,8,0.0159,noun
katsushika,8,0.0159,other
attributed,8,0.0159,verb
shore,8,0.0159,noun
activities,8,0.0159,noun
reflection,8,0.0159,noun
renowned,8,0.0159,verb
role,8,0.0159,noun
canvas,8,0.0159,verb
hallmark,8,0.0159,noun
were,8,0.0159,verb
elaborate,8,0.0159,adj
designs,8,0.0159,adj
engagement,8,0.0159,noun
importance,8,0.0159,noun
presumably,8,0.0159,adv
although,8,0.0159,other
object,8,0.0159,adj
lips,8,0.0159,noun
raised,8,0.0159,verb
shoulder,8,0.0159,noun
hallmarks,8,0.0159,noun
short,8,0.0159,adj
crossed,8,0.0159,verb
buildings,8,0.0159,noun
updo,8,0.0159,adj
vertical,8,0.0159,adj
playing,8,0.0159,verb
guitar,8,0.0159,adj
draws,8,0.0159,verb
headdress,8,0.0159,noun
20th,8,0.0159,adj
gazing,8,0.0159,verb
own,8,0.0159,adj
paolo,8,0.0159,noun
typically,8,0.0159,adv
note,8,0.0159,noun
ethereal,8,0.0159,noun
social,8,0.0159,adj
adult,8,0.0159,noun
any,8,0.0159,other
naturalistic,8,0.0159,adj
rendering,8,0.0159,verb
group,8,0.0159,noun
coastal,8,0.0159,adj
mid,8,0.0159,verb
daily,8,0.0159,adj
sandy,8,0.0159,adj
brush,8,0.0159,noun
apples,8,0.0159,verb
park,8,0.0159,verb
glass,8,0.0159,noun
french,8,0.0159,adj
plants,8,0.0159,noun
door,8,0.0159,adj
comfortably,8,0.0159,adv
windows,8,0.0159,noun
interpretation,8,0.0159,noun
distance,8,0.0159,noun
inviting,8,0.0159,verb
exaggerated,8,0.0159,adj
singer,8,0.0159,noun
dancer,8,0.0159,noun
fauvism,8,0.0159,noun
queen,8,0.0159,adj
sargent,8,0.0159,noun
american,8,0.0159,adj
mountain,8,0.0159,noun
romantic,8,0.0159,adj
fan,7,0.0139,adj
key,7,0.0139,adj
invites,7,0.0139,verb
state,7,0.0139,noun
dynamism,7,0.0139,noun
range,7,0.0139,noun
pale,7,0.0139,adj
whites,7,0.0139,noun
experience,7,0.0139,adj
however,7,0.0139,adv
arrangement,7,0.0139,noun
distinctly,7,0.0139,adv
surfaces,7,0.0139,noun
presented,7,0.0139,verb
shoreline,7,0.0139,noun
floating,7,0.0139,verb
skill,7,0.0139,adj
air,7,0.0139,noun
thought,7,0.0139,noun
venus,7,0.0139,noun
related,7,0.0139,verb
